ts_unix,ts_local,mac_hash,gps_fix,lat,lon,rssi
1770526178.700793,2026-02-08 10:19:38,08fc2106ed9eb1be,0,,,-98
1770526178.7083263,2026-02-08 10:19:38,d6a374812dd521fd,0,,,-94
1770526178.7083263,2026-02-08 10:19:38,7b25a9ad83621f57,0,,,-97
1770526178.7126582,2026-02-08 10:19:38,d6a374812dd521fd,0,,,-97
1770526178.71443,2026-02-08 10:19:38,23bfad923b4cced0,0,,,-96
1770526178.71443,2026-02-08 10:19:38,9c19fcf674b238ce,0,,,-93
1770526178.7164407,2026-02-08 10:19:38,9c19fcf674b238ce,0,,,-96
1770526180.8207893,2026-02-08 10:19:40,08fc2106ed9eb1be,0,,,-98
1770526192.8586893,2026-02-08 10:19:52,08fc2106ed9eb1be,0,,,-98
1770526221.789582,2026-02-08 10:20:21,2647697f73214251,0,,,-97
1770526267.863783,2026-02-08 10:21:07,08fc2106ed9eb1be,0,,,-94
1770526279.735542,2026-02-08 10:21:19,85a22dc5aca4eea7,0,,,-95
1770526283.2390647,2026-02-08 10:21:23,85a22dc5aca4eea7,0,,,-98
1770526326.8247545,2026-02-08 10:22:06,9c19fcf674b238ce,0,,,-94
1770526330.3985257,2026-02-08 10:22:10,85a22dc5aca4eea7,0,,,-96
1770526342.8794532,2026-02-08 10:22:22,9c19fcf674b238ce,0,,,-94
1770526343.6487112,2026-02-08 10:22:23,85a22dc5aca4eea7,0,,,-98
1770526379.867777,2026-02-08 10:22:59,9c19fcf674b238ce,0,,,-99
1770526984.1700678,2026-02-08 10:33:04,d40adb7f43b950b6,0,,,-98
1770526993.2781165,2026-02-08 10:33:13,d9b2fbc49f93bf04,1,17.45608,78.41740,-92
1770526996.7502007,2026-02-08 10:33:16,d9b2fbc49f93bf04,1,17.45608,78.41740,-93
1770527003.2235923,2026-02-08 10:33:23,d9b2fbc49f93bf04,1,17.45608,78.41742,-94
1770527010.79657,2026-02-08 10:33:30,d9b2fbc49f93bf04,1,17.45608,78.41743,-92
1770527011.1725683,2026-02-08 10:33:31,33f102c4e09a97c4,1,17.45608,78.41744,-96
1770527016.771911,2026-02-08 10:33:36,af736e160924f718,1,17.45608,78.41743,-94
1770527028.849061,2026-02-08 10:33:48,d9b2fbc49f93bf04,1,17.45608,78.41741,-92
1770527031.7790267,2026-02-08 10:33:51,d9b2fbc49f93bf04,1,17.45609,78.41741,-92
1770527032.887754,2026-02-08 10:33:52,a43ccf666fee515b,1,17.45609,78.41741,-93
1770527045.8080022,2026-02-08 10:34:05,d9b2fbc49f93bf04,1,17.45607,78.41742,-92
1770527070.30619,2026-02-08 10:34:30,d9b2fbc49f93bf04,1,17.45612,78.41744,-92
1770527074.0928533,2026-02-08 10:34:34,d9b2fbc49f93bf04,1,17.45610,78.41742,-92
1770527080.8001437,2026-02-08 10:34:40,d9b2fbc49f93bf04,1,17.45608,78.41744,-92
1770527091.2806983,2026-02-08 10:34:51,d9b2fbc49f93bf04,1,17.45611,78.41743,-91
